;sequence;code_d_1;labels_d_1;scores_d_1;code_d_2;labels_d_2;scores_d_2;code_d_3;labels_d_3;scores_d_3;code_d_4;labels_d_4;scores_d_4;code_d_5;labels_d_5;scores_d_5;code_d_6;labels_d_6;scores_d_6
0;Quelles sont les mathématiques utilisées par les ingénieurs au quotidien? Une étude sur les pratiques des ingénieurs pour déterminer leurs besoins mathématiques;RDF20-21;Engineering and technology;0.5717268586158752;RDF30;Medical, health and life sciences;0.1193823590874672;RDF50;Social sciences;0.09303618967533112;RDF40;Agricultural and veterinary sciences;0.08734160661697388;RDF10;Natural sciences;0.07661674916744232;RDF60;Humanities and the arts;0.05189618095755577
1;High-tech paper: Security printing and the aesthetics of trust;RDF20-21;Engineering and technology;0.4661268889904022;RDF50;Social sciences;0.14082686603069305;RDF60;Humanities and the arts;0.13064046204090118;RDF10;Natural sciences;0.12596429884433746;RDF40;Agricultural and veterinary sciences;0.07074932008981705;RDF30;Medical, health and life sciences;0.06569214910268784
2;Integrin Alpha8 is a novel mediator of T lymphocyte migration across the CNS barriers;RDF30;Medical, health and life sciences;0.4396478235721588;RDF20-21;Engineering and technology;0.20400741696357727;RDF10;Natural sciences;0.17606985569000244;RDF50;Social sciences;0.1008390560746193;RDF60;Humanities and the arts;0.04656102880835533;RDF40;Agricultural and veterinary sciences;0.03287477791309357
3;Growing up trans: A qualitative, international, and longitudinal investigation of trans youth access to gender affirming medical care, gender affirmation and well-being;RDF30;Medical, health and life sciences;0.5700836777687073;RDF50;Social sciences;0.19961678981781006;RDF10;Natural sciences;0.07802511006593704;RDF60;Humanities and the arts;0.06717021763324738;RDF20-21;Engineering and technology;0.044952619820833206;RDF40;Agricultural and veterinary sciences;0.04015157371759415
4;Programmable DNA-based switches and nanomachines for sensing and drug delivery applications;RDF20-21;Engineering and technology;0.8450031280517578;RDF30;Medical, health and life sciences;0.11752299219369888;RDF10;Natural sciences;0.011287014931440353;RDF50;Social sciences;0.010295605286955833;RDF40;Agricultural and veterinary sciences;0.008403747342526913;RDF60;Humanities and the arts;0.007487485185265541
5;Interactions between attention, perception and reaching movements;RDF50;Social sciences;0.24987106025218964;RDF60;Humanities and the arts;0.22483183443546295;RDF10;Natural sciences;0.17755208909511566;RDF30;Medical, health and life sciences;0.17741592228412628;RDF40;Agricultural and veterinary sciences;0.09529964625835419;RDF20-21;Engineering and technology;0.07502950727939606
6;Design and Management of Fog Networks;RDF20-21;Engineering and technology;0.8887478113174438;RDF10;Natural sciences;0.03987736999988556;RDF50;Social sciences;0.030977031216025352;RDF60;Humanities and the arts;0.013937749899923801;RDF30;Medical, health and life sciences;0.013792741112411022;RDF40;Agricultural and veterinary sciences;0.01266731321811676
7;Polymer Porous Fibrous Structures with Antiviral Properties;RDF20-21;Engineering and technology;0.6365694403648376;RDF30;Medical, health and life sciences;0.22178427875041962;RDF10;Natural sciences;0.07217920571565628;RDF40;Agricultural and veterinary sciences;0.028076311573386192;RDF50;Social sciences;0.02132451720535755;RDF60;Humanities and the arts;0.020066164433956146
8;L'art Noir: cartographies for an emerging field;RDF60;Humanities and the arts;0.5764843225479126;RDF30;Medical, health and life sciences;0.1071016788482666;RDF10;Natural sciences;0.09637808799743652;RDF40;Agricultural and veterinary sciences;0.08764740824699402;RDF50;Social sciences;0.07997360080480576;RDF20-21;Engineering and technology;0.052414894104003906
9;System Identification of Human Postural Control: A Multimodal Sensory Stimulation Approach for Diagnosing Balance Disorders;RDF20-21;Engineering and technology;0.40764227509498596;RDF30;Medical, health and life sciences;0.4012155830860138;RDF50;Social sciences;0.07207951694726944;RDF10;Natural sciences;0.05869993194937706;RDF60;Humanities and the arts;0.036099955439567566;RDF40;Agricultural and veterinary sciences;0.024262692779302597
